Address,Zip Code,CD#,Year of Covenant,Affordable Units,Total Units,% of Affordable,Entitlements,Type2,AH Studio Unit #,AH 1BR Unit #,AH 2BR Unit #,AH 3BR Unit #,AH 4BR Unit #,AH 5BR Unit#,AH 6BR Unit#,LAT,LONG,Cleaned_Address
"208 E 120TH ST Los Angeles, CA 90061",90061.0,15,2008,,5.0,,,,,,,,,,,33.9234207,-118.271509,"208 E 120TH ST Los Angeles, CA"
"1612 W CORTEZ ST 1-21 LOS ANGELES, CA 90026",90026.0,13,2008,,21.0,,,,,,,,,,,34.0671762,-118.2613891,"1612 W CORTEZ ST LOS ANGELES, CA"
"14740 W ERWIN ST VAN NUYS, CA 91411",91411.0,6,2008,,18.0,,,,,,,,,,,34.1832947,-118.4547424,"14740 W ERWIN ST VAN NUYS, CA"
"4647 E HUNTINGTON DR NORTH Los Angeles, CA 90032",90032.0,14,2008,,48.0,,,,,,,,,,,34.1348629,-117.9397226,"4647 E HUNTINGTON DR NORTH Los Angeles, CA"
"6118 N HAZELTINE AVE Van Nuys, CA 91401",91401.0,2,2008,,,,,,,,,,,,,34.1814073,-118.4395948,"6118 N HAZELTINE AVE Van Nuys, CA"
"14116 W BURBANK BLVD VAN NUYS, CA 91401",91401.0,4,2008,,13.0,,,,,,,,,,,34.1717594,-118.4407023,"14116 W BURBANK BLVD VAN NUYS, CA"
"420 S UNION DR 1-21 Los Angeles, CA 90017",90017.0,1,2008,,21.0,,,,,,,,,,,34.0591743,-118.2683536,"420 S UNION DR Los Angeles, CA"
"17837 W SHERMAN WAY 1-10 Reseda, CA 91335",91335.0,4,2008,,10.0,,,,,,,,,,,34.2009462,-118.5231576,"17837 W SHERMAN WAY Reseda, CA"
"7225 S CRESCENT PARK WEST Playa Vista, CA 90094",90094.0,11,2008,,312.0,,,,,,,,,,,33.9686055,-118.4271822,"7225 S CRESCENT PARK WEST Playa Vista, CA"
"2529 N SICHEL ST 1-6 Los Angeles, CA 90031",90031.0,1,2008,,,,,,,,,,,,,34.0763029,-118.2134392,"2529 N SICHEL ST Los Angeles, CA"
"1671 W BEVERLY BLVD 1-22 Los Angeles, CA 90026",90026.0,13,2008,,22.0,,,,,,,,,,,34.0193345,-118.1168818,"1671 W BEVERLY BLVD Los Angeles, CA"
"5417 S FIGUEROA ST 1-21 Los Angeles, CA 90037",90037.0,9,2008,,21.0,,,,,,,,,,,33.9926355,-118.2830126,"5417 S FIGUEROA ST Los Angeles, CA"
"635 S NORTON AVE 1-47 Travis Afb, CA 90010",90010.0,13,2008,,,,,,,,,,,,,34.0620744,-118.3167847,"635 S NORTON AVE Travis Afb, CA"
"1645 S ABBOT KINNEY BLVD Venice, CA 90291",90291.0,11,2008,,,,,,,,,,,,,33.989583,-118.4628148,"1645 S ABBOT KINNEY BLVD Venice, CA"
"1508 S VETERAN AVE Los Angeles, CA 90024",90024.0,5,2008,,,,,,,,,,,,,34.0524113,-118.442744,"1508 S VETERAN AVE Los Angeles, CA"
"12360 W OSBORNE ST 1-2 Pacoima, CA 91331",91331.0,7,2008,,51.0,,,,,,,,,,,34.2613494,-118.4015698,"12360 W OSBORNE ST Pacoima, CA"
"116 S WITMER ST Los Angeles, CA 90026",90026.0,1,2008,,49.0,,,,,,,,,,,34.0615803,-118.2606337,"116 S WITMER ST Los Angeles, CA"
"4133 S REDWOOD AVE 1-117 Los Angeles, CA 90292",90292.0,11,2008,,190.0,,,,,,,,,,,33.9898133,-118.4404359,"4133 S REDWOOD AVE Los Angeles, CA"
"3742 S CLARINGTON AVE 1-2 Los Angeles, CA 90034",90034.0,5,2008,,20.0,,,,,,,,,,,34.0239327,-118.4008648,"3742 S CLARINGTON AVE Los Angeles, CA"
"1328 W JAMES M. WOOD BLVD 1-18 Los Angeles, CA 90015",90015.0,1,2008,,61.0,,,,,,,,,,,34.0491546,-118.2699808,"1328 W JAMES M. WOOD BLVD Los Angeles, CA"
"918 S OXFORD AVE 1-225 Los Angeles, CA 90006",90006.0,10,2008,,,,,,,,,,,,,34.0551387,-118.3074571,"918 S OXFORD AVE Los Angeles, CA"
"7318 N WOODMAN AVE VAN NUYS, CA 91405",91405.0,2,2008,,8.0,,,,,,,,,,,34.2116193,-118.4311424,"7318 N WOODMAN AVE VAN NUYS, CA"
"7755 W HOLLYWOOD BLVD 1-18 Los Angeles, CA 90046",90046.0,4,2008,,,,,,,,,,,,,34.1020097,-118.3584677,"7755 W HOLLYWOOD BLVD Los Angeles, CA"
"413 E 7TH ST Los Angeles, CA 90014",90014.0,14,2008,,53.0,,,,,,,,,,,34.0418927,-118.2479341,"413 E 7TH ST Los Angeles, CA"
"4900 S FIGUEROA ST 1-49 Los Angeles, CA 90037",90037.0,9,2008,,49.0,,,,,,,,,,,33.9979688,-118.2823992,"4900 S FIGUEROA ST Los Angeles, CA"
"1413 1/2 W 58TH PL Los Angeles, CA 90047",90047.0,8,2008,,2.0,,,,,,,,,,,33.9885799,-118.3007394,"1413/2 W 58TH PL Los Angeles, CA"
"1927 W 6TH ST 1-51 Los Angeles, CA 90057",90057.0,1,2008,,51.0,,,,,,,,,,,34.0589154,-118.2729817,"1927 W 6TH ST Los Angeles, CA"
"204 S LUCAS AVE 1-21 Los Angeles, CA 90026",90026.0,1,2008,,21.0,,,,,,,,,,,34.0604193,-118.2598766,"204 S LUCAS AVE Los Angeles, CA"
"12129 N EL DORADO AVE Sylmar, CA 91342",91342.0,7,2008,,60.0,,,,,,,,,,,34.2904842,-118.4510842,"12129 N EL DORADO AVE Sylmar, CA"
"1215 S NORTON AVE 1-44 Los Angeles, CA 90019",90019.0,10,2008,,,,,,,,,,,,,34.0489468,-118.3235019,"1215 S NORTON AVE Los Angeles, CA"
"1050 W INGRAHAM ST Los Angeles, CA 90017",90017.0,1,2008,,,,,,,,,,,,,34.05146,-118.2632546,"1050 W INGRAHAM ST Los Angeles, CA"
"3221 S CARTER AVE 1-298 Marina Del Rey, CA 90292",90292.0,11,2008,,298.0,,,,,,,,,,,33.9866448,-118.44656,"3221 S CARTER AVE Marina Del Rey, CA"
"9618 N VAN NUYS BLVD 1-55 Panorama City, CA 91402",91402.0,6,2008,,55.0,,,,,,,,,,,34.2134238,-118.4493142,"9618 N VAN NUYS BLVD Panorama City, CA"
"456 S LAKE ST Los Angeles, CA 90057",90057.0,1,2008,,74.0,,,,,,,,,,,34.0611257,-118.2747256,"456 S LAKE ST Los Angeles, CA"
"816 S CARONDELET ST 1-33 Los Angeles, CA 90057",90057.0,1,2008,,33.0,,,,,,,,,,,34.0560842,-118.2821272,"816 S CARONDELET ST Los Angeles, CA"
"1229 N BRONSON AVE 1-32 HOLLYWOOD, CA 90038",90038.0,13,2008,,32.0,,,,,,,,,,,34.0935676,-118.3182991,"1229 N BRONSON AVE HOLLYWOOD, CA"
"13890 W SAYRE ST Sylmar, CA 91342",91342.0,7,2008,,49.0,,,,,,,,,,,34.3080747,-118.4358118,"13890 W SAYRE ST Sylmar, CA"
"11501 W HATTERAS ST 1-8 North Hollywood, CA 91601",91601.0,2,2008,,8.0,,,,,,,,,,,34.1760311,-118.3822449,"11501 W HATTERAS ST North Hollywood, CA"
"1109 S KINGSLEY DR 1-30 Los Angeles, CA 90006",90006.0,10,2008,,,,,,,,,,,,,34.0505907,-118.3034411,"1109 S KINGSLEY DR Los Angeles, CA"
"7002 S RAMSGATE PL 1-10 Los Angeles, CA 90045",90045.0,11,2009,,12.0,,,,,,,,,,,33.97430629999999,-118.3730967,"7002 S RAMSGATE PL Los Angeles, CA"
"11950 W IDAHO AVE 1-2 Los Angeles, CA 90025",90025.0,11,2009,,91.0,,,,,,,,,,,34.0394434,-118.4600878,"11950 W IDAHO AVE Los Angeles, CA"
"1805 N SICHEL ST 1-37 Los Angeles, CA 90031",90031.0,14,2009,,37.0,,,,,,,,,,,34.0643092,-118.2131418,"1805 N SICHEL ST Los Angeles, CA"
"924 S HOBART BLVD 1-49 Los Angeles, CA 90006",90006.0,10,2009,,49.0,,,,,,,,,,,34.0549304,-118.3049533,"924 S HOBART BLVD Los Angeles, CA"
"10620 W WHIPPLE ST North Hollywood, CA 91602",91602.0,2,2009,,33.0,,,,,,,,,,,34.14761,-118.3623709,"10620 W WHIPPLE ST North Hollywood, CA"
"6910 N WOODLEY AVE Van Nuys, CA 91406",91406.0,6,2009,,7.0,,,,,,,,,,,34.1964287,-118.4832916,"6910 N WOODLEY AVE Van Nuys, CA"
"13627 W SHERMAN WAY Van Nuys, CA 91405",91405.0,2,2009,,75.0,,,,,,,,,,,34.2015121,-118.4299556,"13627 W SHERMAN WAY Van Nuys, CA"
"2114 W CLINTON ST 1-36 Los Angeles, CA 90026",90026.0,13,2009,,36.0,,,,,,,,,,,34.0736401,-118.2665982,"2114 W CLINTON ST Los Angeles, CA"
"1304 W 2ND ST 1-275 Los Angeles, CA 90026",90026.0,1,2009,,,,,,,,,,,,,34.0606418,-118.2589863,"1304 W 2ND ST Los Angeles, CA"
"7420 S Arizona AVE Los Angeles, CA 90045",90045.0,11,2009,,43.0,,,,,,,,,,,34.0251466,-118.1660773,"7420 S Arizona AVE Los Angeles, CA"
"14419 W VANOWEN ST VAN NUYS, CA 91405",91405.0,6,2009,,25.0,,,,,,,,,,,34.1942385,-118.4471134,"14419 W VANOWEN ST VAN NUYS, CA"
"15320 W RAYEN ST 1-49 North Hills, CA 91343",91343.0,6,2009,,49.0,,,,,,,,,,,34.2315056,-118.4664482,"15320 W RAYEN ST North Hills, CA"
"12028 S FIGUEROA ST LOS ANGELES, CA 90061",90061.0,15,2009,,19.0,,,,,,,,,,,33.922926,-118.2823198,"12028 S FIGUEROA ST LOS ANGELES, CA"
"6136 W ELEANOR AVE Los Angeles, CA 90038",90038.0,13,2009,,,,,,,,,,,,,34.08957270000001,-118.3257826,"6136 W ELEANOR AVE Los Angeles, CA"
"19455 W PARTHENIA ST 1-77 Northridge, CA 91324",91324.0,12,2009,,77.0,,,,,,,,,,,34.2286764,-118.5575704,"19455 W PARTHENIA ST Northridge, CA"
"14611 W VINCENNES ST Panorama City, CA 91402",91402.0,6,2009,,80.0,,,,,,,,,,,34.2404478,-118.4509052,"14611 W VINCENNES ST Panorama City, CA"
"13426 W VANOWEN ST Van Nuys, CA 91405",91405.0,2,2009,,20.0,,,,,,,,,,,34.1937941,-118.4255785,"13426 W VANOWEN ST Van Nuys, CA"
"17720 W SUPERIOR ST Northridge, CA 91325",91325.0,12,2009,,,,,,,,,,,,,34.2464279,-118.5580068,"17720 W SUPERIOR ST Northridge, CA"
"833 N EDINBURGH AVE 1-57 Los Angeles, CA 90046",90046.0,5,2009,,57.0,,,,,,,,,,,34.0867167,-118.3641821,"833 N EDINBURGH AVE Los Angeles, CA"
"8955 N ORION AVE 1-32 North Hills, CA 91343",91343.0,7,2009,,32.0,,,,,,,,,,,34.2334126,-118.4723736,"8955 N ORION AVE North Hills, CA"
"18425 W MALDEN ST 1-36 Northridge, CA 91325",91325.0,12,2009,,36.0,,,,,,,,,,,34.225792,-118.534903,"18425 W MALDEN ST Northridge, CA"
"6941 N HAZELTINE AVE 1-12 Van Nuys, CA 91405",91405.0,6,2009,,12.0,,,,,,,,,,,34.1972477,-118.4401953,"6941 N HAZELTINE AVE Van Nuys, CA"
"3901 S VERMONT AVE Los Angeles, CA 90037",90037.0,8,2009,,140.0,,,,,,,,,,,34.01534,-118.2918,"3901 S VERMONT AVE Los Angeles, CA"
"15270 W SUTTON ST Sherman Oaks, CA 91403",91403.0,4,2009,,30.0,,,,,,,,,,,34.149737,-118.4666041,"15270 W SUTTON ST Sherman Oaks, CA"
"15357 W MAGNOLIA BLVD VAN NUYS, CA 91403",91403.0,4,2009,,98.0,,,,,,,,,,,34.1650371,-118.4679332,"15357 W MAGNOLIA BLVD VAN NUYS, CA"
"2618 W 7TH ST Los Angeles, CA 90057",90057.0,1,2009,,57.0,,,,,,,,,,,34.0589226,-118.2830524,"2618 W 7TH ST Los Angeles, CA"
"1759 S BELOIT AVE 1-61 Los Angeles, CA 90025",90025.0,11,2009,,61.0,,,,,,,,,,,34.0387433,-118.4403584,"1759 S BELOIT AVE Los Angeles, CA"
"21350 W PARTHENIA ST Canoga Park, CA 91304",91304.0,3,2009,,,,,,,,,,,,,34.2278513,-118.5967335,"21350 W PARTHENIA ST Canoga Park, CA"
"21306 W PARTHENIA ST Canoga Park, CA 91304",91304.0,3,2009,,,,,,,,,,,,,34.2278994,-118.5953903,"21306 W PARTHENIA ST Canoga Park, CA"
"1624 S HOPE ST 1-97 Los Angeles, CA 90015",90015.0,14,2009,,97.0,,,,,,,,,,,34.03576,-118.26787,"1624 S HOPE ST Los Angeles, CA"
"11825 W COURTLEIGH DR Los Angeles, CA 90066",90066.0,11,2009,,2.0,,,,,,,,,,,33.9981072,-118.4185694,"11825 W COURTLEIGH DR Los Angeles, CA"
"208 S BONNIE BRAE ST 1-92 Los Angeles, CA 90057",90057.0,1,2009,,93.0,,,,,,,,,,,34.0640315,-118.2682247,"208 S BONNIE BRAE ST Los Angeles, CA"
"8747 N.Sepulveda Blvd, North Hills 91301",91301.0,6,2010,4.0,38.0,10.53%,Density Bonus,Market Rate Developments,,,,,,,,34.229689,-118.4682932,"8747 N.Sepulveda Blvd, North Hills"
"14349-14353 W. Friar St, Van Nuys 91401",91401.0,6,2010,2.0,18.0,11.11%,Density Bonus,Market Rate Developments,,,"1, 2",,,,,34.1859836,-118.4461322,"14349-14353 W. Friar St, Van Nuys"
"1813-1819 Prosser, Los Angeles 90027",90027.0,5,2010,2.0,21.0,9.52%,Density Bonus,Market Rate Developments,,,"102, 205",,,,,34.0549076,-118.242643,"1813-1819 Prosser, Los Angeles"
"510 Landfair Ave, Los Angeles 90024",90024.0,5,2010,2.0,36.0,5.56%,Density Bonus,Market Rate Developments,,,"1, 2",,,,,34.06843509999999,-118.4505956,"510 Landfair Ave, Los Angeles"
"11901 Goshen Ave, Los Angeles 90049",90049.0,11,2010,1.0,220.0,0.45%,Density Bonus,Market Rate Developments,,107,,,,,,34.0478633,-118.4652842,"11901 Goshen Ave, Los Angeles"
"6222 N. Kester Ave, Van Nuys 91411",91411.0,6,2010,2.0,22.0,9.09%,Density Bonus,Market Rate Developments,,,,,,,,34.1833845,-118.4571268,"6222 N. Kester Ave, Van Nuys"
"11501 W. Hatteras St, North Hollywood 91316",91316.0,2,2010,1.0,8.0,12.50%,Density Bonus,Market Rate Developments,,,,,,,,34.1760311,-118.3822449,"11501 W. Hatteras St, North Hollywood"
"14823 Sylvan, Los Angeles",91411.0,6,2010,1.0,9.0,11.11%,Density Bonus,Market Rate Developments,,,1,,,,,34.1850136,-118.456262,"14823 Sylvan, Los Angeles"
"10737-10747 Magnolia Blvd, Los Angeles 91601",91601.0,2,2010,26.0,126.0,20.63%,Density Bonus,Market Rate Developments,,,,,,,,34.1649076,-118.3649675,"10737-10747 Magnolia Blvd, Los Angeles"
"18424 S. Normandie Ave, Los Angeles",90248.0,15,2010,2.0,47.0,4.26%,Density Bonus,Market Rate Developments,,,,,,,,33.8635562,-118.2989437,"18424 S. Normandie Ave, Los Angeles"
"1408 W. Washington Blvd, Los Angeles 90007",90007.0,1,2010,4.0,41.0,9.76%,Density Bonus,Market Rate Developments,,,,,,,,34.0398,-118.28697,"1408 W. Washington Blvd, Los Angeles"
"2614 W. 7th St, Los Angeles 90057",90057.0,1,2010,60.0,68.0,88.24%,Density Bonus,Market Rate Developments,,,,,,,,34.0586595,-118.2828031,"2614 W. 7th St, Los Angeles"
"4401 Sepulveda Blvd, Los Angeles 91403",91403.0,4,2010,2.0,47.0,4.26%,Density Bonus,Market Rate Developments,,,,,,,,34.1502086,-118.4676684,"4401 Sepulveda Blvd, Los Angeles"
"201-218 N. Palos Verdes St, Los Angeles 90731",90731.0,15,2010,49.0,49.0,100.00%,Density Bonus,Market Rate Developments,,,,,,,,33.74418989999999,-118.281354,"201-218 N. Palos Verdes St, Los Angeles"
"3915 Eagle Rock Blvd, LA 90065",90065.0,1,2010,2.0,114.0,1.75%,Density Bonus/Parking Reduction Only,Market Rate Developments,,207,202,,,,,34.1193845,-118.2305306,"3915 Eagle Rock Blvd, LA"
"741 W. 39th St, San Pedro 90731",90731.0,8,2010,1.0,4.0,25.00%,Other Ordinances Or Discretionary,Market Rate Developments,,,,,,,,33.7085462,-118.2925242,"741 W. 39th St, San Pedro"
"12735 W. Venice Blvd, Los Angeles 90066",90066.0,11,2010,1.0,3.0,33.33%,Other Ordinances Or Discretionary,Market Rate Developments,,,,,,,,34.0452252,-118.350816,"12735 W. Venice Blvd, Los Angeles"
"6201 W. Hollywood Blvd, Los Angeles",90028.0,13,2010,52.0,517.0,10.06%,Other Ordinances Or Discretionary,Market Rate Developments,,,,,,,,34.102671,-118.3246474,"6201 W. Hollywood Blvd, Los Angeles"
"2562 N. Glen Green, Los Angeles 90068",90068.0,4,2010,1.0,2.0,50.00%,Other Ordinances Or Discretionary,Market Rate Developments,,,,,,,,34.1166095,-118.3202184,"2562 N. Glen Green, Los Angeles"
"1046 W. Princeton Dr, Los Angeles 90292",90292.0,11,2010,2.0,28.0,7.14%,Other Ordinances Or Discretionary,Market Rate Developments,"107, 109",,,,,,,33.9862517,-118.4457144,"1046 W. Princeton Dr, Los Angeles"
"2619 Wilshire Blvd, Los Angeles 90057",90057.0,1,2010,5.0,193.0,2.59%,Other Ordinances Or Discretionary,Market Rate Developments,"1, 2","3, 4",5,,,,,34.0610161,-118.2820282,"2619 Wilshire Blvd, Los Angeles"
"1724 N. Highland, Los Angeles 90028",90028.0,13,2010,27.0,270.0,10.00%,Other Ordinances Or Discretionary,Market Rate Developments,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 15, 12, 13, 14, 15","16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27",,,,,34.1025686,-118.3384113,"1724 N. Highland, Los Angeles"
"1070 S. Corning St, Los Angeles 90035",90035.0,5,2010,1.0,15.0,6.67%,Other Ordinances Or Discretionary,Market Rate Developments,,,,,,,,34.0573547,-118.3771377,"1070 S. Corning St, Los Angeles"
"17325 Castellmmare, Los Angeles 90272",90272.0,11,2010,2.0,29.0,6.90%,Other Ordinances Or Discretionary,Market Rate Developments,,,"1, 2",,,,,34.03959520000001,-118.5560632,"17325 Castellmmare, Los Angeles"
"3025 S. Figueroa, Los Angeles 90007",90007.0,9,2010,5.0,34.0,14.71%,Other Ordinances Or Discretionary,Market Rate Developments,,,,,,,,34.0247428,-118.2787451,"3025 S. Figueroa, Los Angeles"
"4217 S. Inglewood Blvd, Los Angeles 90066",90066.0,11,2010,1.0,17.0,5.88%,Other Ordinances Or Discretionary,Market Rate Developments,,,,,,,,33.9970856,-118.4219237,"4217 S. Inglewood Blvd, Los Angeles"
"4705 W. Franklin Ave, Los Angeles 90027",90027.0,4,2010,1.0,17.0,5.88%,Other Ordinances Or Discretionary,Market Rate Developments,,,,,,,,34.1464892,-118.3446051,"4705 W. Franklin Ave, Los Angeles"
"11504 W. Nebraska Ave, Los Angeles 90025",90025.0,11,2010,2.0,9.0,22.22%,Other Ordinances Or Discretionary,Market Rate Developments,,,,,,,,34.0456186,-118.4433624,"11504 W. Nebraska Ave, Los Angeles"
"1539 S. Shenandoah St, Los Angeles 90035",90035.0,5,2010,1.0,9.0,11.11%,Other Ordinances Or Discretionary,Market Rate Developments,,102,,,,,,34.0507236,-118.3824348,"1539 S. Shenandoah St, Los Angeles"
"15010 Dickens St, Los Angeles 91403",91403.0,4,2010,1.0,27.0,3.70%,Other Ordinances Or Discretionary,Market Rate Developments,,,101,,,,,34.1512522,-118.4604082,"15010 Dickens St, Los Angeles"
"13490 Maxella Ave, Marina Del Rey 90292",90292.0,11,2010,24.0,244.0,9.84%,Other Ordinances Or Discretionary,Market Rate Developments,,,,,,,,33.9862792,-118.4422104,"13490 Maxella Ave, Marina Del Rey"
"3066 W. 7th St, Los Angeles 90005",90005.0,1,2010,2.0,38.0,5.26%,Other Ordinances Or Discretionary,Market Rate Developments,,,"101, 102",,,,,34.059619,-118.2908776,"3066 W. 7th St, Los Angeles"
"2002 Paseo Del Mar, San Pedro 90732",90732.0,15,2010,1.0,11.0,9.09%,Other Ordinances Or Discretionary,Market Rate Developments,1,,,,,,,33.7192656,-118.3203303,"2002 Paseo Del Mar, San Pedro"
"5738 W. Carlton Way, Los Angeles 90028",90028.0,13,2010,1.0,41.0,2.44%,Other Ordinances Or Discretionary,Market Rate Developments,,,,,,,,34.1001617,-118.315018,"5738 W. Carlton Way, Los Angeles"
"4034 S. Pacific Avenue, San Pedro, CA 90731",90731.0,15,2010,2.0,36.0,5.56%,Other Ordinances Or Discretionary,Market Rate Developments,,,,,,, ,33.7072018,-118.2876472,"4034 S. Pacific Avenue, San Pedro, CA"
"959 S. Ardmore Ave, Los Angeles 90006",90006.0,10,2010,48.0,48.0,100.00%,Density Bonus,Affordable Housing Trust Fund Projects,,,,,,,,34.0538127,-118.302413,"959 S. Ardmore Ave, Los Angeles"
"14726-14728 W. Blythe St, Panorama City 91402",91402.0,6,2010,3.0,29.0,10.34%,Density Bonus,Affordable Housing Trust Fund Projects,,"1, 2, 3",,,,,,34.2147284,-118.4538783,"14726-14728 W. Blythe St, Panorama City"
"14655 W. Blythe St, Panorama City 90301",90301.0,6,2010,11.0,69.0,15.94%,Density Bonus,Affordable Housing Trust Fund Projects,,,,,,,,34.2154511,-118.4526463,"14655 W. Blythe St, Panorama City"
