Address,Zip Code,CD#,Year of Covenant,Affordable Units,Total Units,% of Affordable,Entitlements,Type2,AH Studio Unit #,AH 1BR Unit #,AH 2BR Unit #,AH 3BR Unit #,AH 4BR Unit #,AH 5BR Unit#,AH 6BR Unit#,LAT,LONG
"1813-1819 Prosser, Los Angeles 90027",90027,5,2010,2,21,9.52%,Density Bonus,Market Rate Developments,,,"102, 205",,,,,,
"510 Landfair Ave, Los Angeles 90024",90024,5,2010,2,36,5.56%,Density Bonus,Market Rate Developments,,,"1, 2",,,,,,
"11901 Goshen Ave, Los Angeles 90049",90049,11,2010,1,220,0.45%,Density Bonus,Market Rate Developments,,107,,,,,,,
"6222 N. Kester Ave, Van Nuys 91411",91411,6,2010,2,22,9.09%,Density Bonus,Market Rate Developments,,,,,,,,,
"11501 W. Hatteras St, North Hollywood 91316",91316,2,2010,1,8,12.50%,Density Bonus,Market Rate Developments,,,,,,,,,
"14823 Sylvan, Los Angeles",91411,6,2010,1,9,11.11%,Density Bonus,Market Rate Developments,,,1,,,,,,
"10737-10747 Magnolia Blvd, Los Angeles 91601",91601,2,2010,26,126,20.63%,Density Bonus,Market Rate Developments,,,,,,,,,
"18424 S. Normandie Ave, Los Angeles",90248,15,2010,2,47,4.26%,Density Bonus,Market Rate Developments,,,,,,,,,
"1408 W. Washington Blvd, Los Angeles 90007",90007,1,2010,4,41,9.76%,Density Bonus,Market Rate Developments,,,,,,,,,
"2614 W. 7th St, Los Angeles 90057",90057,1,2010,60,68,88.24%,Density Bonus,Market Rate Developments,,,,,,,,,
"4401 Sepulveda Blvd, Los Angeles 91403",91403,4,2010,2,47,4.26%,Density Bonus,Market Rate Developments,,,,,,,,,
"201-218 N. Palos Verdes St, Los Angeles 90731",90731,15,2010,49,49,100.00%,Density Bonus,Market Rate Developments,,,,,,,,,
"3915 Eagle Rock Blvd, LA 90065",90065,1,2010,2,114,1.75%,Density Bonus/Parking Reduction Only,Market Rate Developments,,207,202,,,,,,
"741 W. 39th St, San Pedro 90731",90731,8,2010,1,4,25.00%,Other Ordinances Or Discretionary,Market Rate Developments,,,,,,,,,
"12735 W. Venice Blvd, Los Angeles 90066",90066,11,2010,1,3,33.33%,Other Ordinances Or Discretionary,Market Rate Developments,,,,,,,,,
"6201 W. Hollywood Blvd, Los Angeles",90028,13,2010,52,517,10.06%,Other Ordinances Or Discretionary,Market Rate Developments,,,,,,,,,
"2562 N. Glen Green, Los Angeles 90068",90068,4,2010,1,2,50.00%,Other Ordinances Or Discretionary,Market Rate Developments,,,,,,,,,
"1046 W. Princeton Dr, Los Angeles 90292",90292,11,2010,2,28,7.14%,Other Ordinances Or Discretionary,Market Rate Developments,"107, 109",,,,,,,,
"2619 Wilshire Blvd, Los Angeles 90057",90057,1,2010,5,193,2.59%,Other Ordinances Or Discretionary,Market Rate Developments,"1, 2","3, 4",5,,,,,,
"1724 N. Highland, Los Angeles 90028",90028,13,2010,27,270,10.00%,Other Ordinances Or Discretionary,Market Rate Developments,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 15, 12, 13, 14, 15","16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27",,,,,,
"1070 S. Corning St, Los Angeles 90035",90035,5,2010,1,15,6.67%,Other Ordinances Or Discretionary,Market Rate Developments,,,,,,,,,
"17325 Castellmmare, Los Angeles 90272",90272,11,2010,2,29,6.90%,Other Ordinances Or Discretionary,Market Rate Developments,,,"1, 2",,,,,,
"3025 S. Figueroa, Los Angeles 90007",90007,9,2010,5,34,14.71%,Other Ordinances Or Discretionary,Market Rate Developments,,,,,,,,,
"4217 S. Inglewood Blvd, Los Angeles 90066",90066,11,2010,1,17,5.88%,Other Ordinances Or Discretionary,Market Rate Developments,,,,,,,,,
"4705 W. Franklin Ave, Los Angeles 90027",90027,4,2010,1,17,5.88%,Other Ordinances Or Discretionary,Market Rate Developments,,,,,,,,,
"11504 W. Nebraska Ave, Los Angeles 90025",90025,11,2010,2,9,22.22%,Other Ordinances Or Discretionary,Market Rate Developments,,,,,,,,,
"1539 S. Shenandoah St, Los Angeles 90035",90035,5,2010,1,9,11.11%,Other Ordinances Or Discretionary,Market Rate Developments,,102,,,,,,,
"15010 Dickens St, Los Angeles 91403",91403,4,2010,1,27,3.70%,Other Ordinances Or Discretionary,Market Rate Developments,,,101,,,,,,
"13490 Maxella Ave, Marina Del Rey 90292",90292,11,2010,24,244,9.84%,Other Ordinances Or Discretionary,Market Rate Developments,,,,,,,,,
"3066 W. 7th St, Los Angeles 90005",90005,1,2010,2,38,5.26%,Other Ordinances Or Discretionary,Market Rate Developments,,,"101, 102",,,,,,
"2002 Paseo Del Mar, San Pedro 90732",90732,15,2010,1,11,9.09%,Other Ordinances Or Discretionary,Market Rate Developments,1,,,,,,,,
"5738 W. Carlton Way, Los Angeles 90028",90028,13,2010,1,41,2.44%,Other Ordinances Or Discretionary,Market Rate Developments,,,,,,,,,
"4034 S. Pacific Avenue, San Pedro, CA 90731",90731,15,2010,2,36,5.56%,Other Ordinances Or Discretionary,Market Rate Developments,,,,,,, ,,
"959 S. Ardmore Ave, Los Angeles 90006",90006,10,2010,48,48,100.00%,Density Bonus,Affordable Housing Trust Fund Projects,,,,,,,,,
"14726-14728 W. Blythe St, Panorama City 91402",91402,6,2010,3,29,10.34%,Density Bonus,Affordable Housing Trust Fund Projects,,"1, 2, 3",,,,,,,
"14655 W. Blythe St, Panorama City 90301",90301,6,2010,11,69,15.94%,Density Bonus,Affordable Housing Trust Fund Projects,,,,,,,,,
"1521 W. Pico Blvd, Los Angeles 90015",90015,1,2010,55,56,98.21%,Density Bonus,Affordable Housing Trust Fund Projects,,,,,,,,,
"716 N. Yale St, Los Angeles 90012",90012,1,2010,55,55,100.00%,Density Bonus,Affordable Housing Trust Fund Projects,,,,,,,,,
"721 N. Yale St, Los Angeles 90012",90012,1,2010,59,60,98.33%,Density Bonus,Affordable Housing Trust Fund Projects,,,,,,,,,
"5125 S. Main St, Los Angeles 90037",90037,9,2010,45,46,97.83%,Density Bonus,Affordable Housing Trust Fund Projects,,,,,,,,,
"337 N. Juanita Ave, Los Angeles 90004",90004,13,2010,48,49,97.96%,Density Bonus,Affordable Housing Trust Fund Projects,,,,,,,,,
"3327 E. Sabina St, Los Angeles",90023,14,2010,111,112,99.11%,Density Bonus,Affordable Housing Trust Fund Projects,,,,,,,,,
"1901 W. 7th St, Los Angeles 90057",90057,1,2010,89,90,98.89%,Density Bonus/Parking Reduction Only,Affordable Housing Trust Fund Projects,,,,,,,,,
"952 N. Harvard Blvd, Los Angeles 90029",90029,13,2010,32,40,80.00%,Density Bonus/Parking Reduction Only,Affordable Housing Trust Fund Projects,,,,,,,,,
"204 S. Lucas Ave, Los Angeles 90025",90025,1,2010,21,21,100.00%,Density Bonus/Parking Reduction Only,Affordable Housing Trust Fund Projects,,,"1, 2, 3, 4","5, 6, 7, 8",,,,,
"8925 Glenoaks Blvd, Sun Valley 91352",91352,6,2010,60,61,98.36%,Density Bonus/Parking Reduction Only,Affordable Housing Trust Fund Projects,,,,,,,,,
"6525 S. Normandie, Los Angeles 90044",90044,8,2010,20,20,100.00%,Density Bonus/Parking Reduction Only,Affordable Housing Trust Fund Projects,,,,,,,,,
"10006 S. Broadway, Los Angeles 90003",90003,8,2010,8,16,50.00%,Density Bonus/Parking Reduction Only,Affordable Housing Trust Fund Projects,,,,,,,,,
"5331 E. Huntington Dr, Los Angeles 90032",90032,14,2010,25,25,100.00%,Density Bonus/Parking Reduction Only,Affordable Housing Trust Fund Projects,,,,,,,,,
"933 S. Park View, Los Angeles 90006",90006,1,2010,21,21,100.00%,Density Bonus/Parking Reduction Only,Affordable Housing Trust Fund Projects,,,,,,,,,
"1726 N. Gower, Los Angeles 90028",90028,13,2010,69,70,98.57%,Density Bonus/Parking Reduction Only,Affordable Housing Trust Fund Projects,,,,,,,,,
"504 N. Berendo, Los Angeles 90004",90004,13,2010,40,54,74.07%,Density Bonus/Parking Reduction Only,Affordable Housing Trust Fund Projects,,,,,,,,,
"831 W 70th St, Los Angeles 90043",90043,8,2010,33,49,67.35%,Density Bonus/Parking Reduction Only,Affordable Housing Trust Fund Projects,,,,,,,,,
"4915 S. Vermont Ave, Los Angeles 90037",90037,9,2010,49,49,100.00%,Density Bonus/Parking Reduction Only,Affordable Housing Trust Fund Projects,,,,,,,,,
"9345 Sepulveda Blvd, North Hills 91343",91343,7,2010,37,38,97.37%,Density Bonus/Parking Reduction Only,Affordable Housing Trust Fund Projects,,,,,,,,,
"3000 Verdugo Rd, Los Angeles 90065",90065,1,2010,49,50,98.00%,Other Ordinances Or Discretionary,Affordable Housing Trust Fund Projects,,,,,,,,,
"1345 Emerald Dr, Los Angeles",90026,1,2010,85,85,100.00%,Other Ordinances Or Discretionary,Affordable Housing Trust Fund Projects,,,,,,,,,
"10625 Bloomfield St, Los Angeles 91602",91602,2,2011,1,14,7.14%,Density Bonus,Market Rate Developments,,,,,,,,,
"1866 S. Greenfield Ave, Los Angeles 90025",90025,5,2011,1,19,5.26%,Density Bonus,Market Rate Developments,,,,,,,,,
"375 N. La Cienega Blvd, Los Angeles 90048",90048,5,2011,11,125,8.80%,Density Bonus,Market Rate Developments,"1, 2","3, 4, 5, 6, 7, 8, 9, 10, 11",,,,,,,
"11818 Dorothy St, Los Angeles 90025",90025,11,2011,2,26,7.69%,Density Bonus,Market Rate Developments,,,,,,,,,
"11055 Cumpston St, Los Angeles 91601",91601,2,2011,2,25,8.00%,Density Bonus,Market Rate Developments,,,"1, 2",,,,,,
"5315 N. Bellingham Ave, Los Angeles 91607",91607,2,2011,1,17,5.88%,Density Bonus,Market Rate Developments,,,,,,,,,
"14309 Burbank Blvd, Los Angeles 91401",91401,4,2011,1,8,12.50%,Density Bonus,Market Rate Developments,,,1,,,,,,
"10227 Mason Ave, Woodland Hills 91364",91364,12,2011,3,50,6.00%,Density Bonus,Market Rate Developments,,,,,,,,,
"6332 Brynhurst Ave, Los Angeles 90043",90043,8,2011,11,12,91.67%,Density Bonus,Market Rate Developments,,,,,,,,,
"1303 Wellesley Ave, Los Angeles 90025",90025,11,2011,2,25,8.00%,Density Bonus,Market Rate Developments,,,205,102,,,,,
"12412 Pacific Ave, Los Angeles 90066",90066,11,2011,1,12,8.33%,Density Bonus,Market Rate Developments,,2,,,,,,,
"7651 Laurel Canyon Blvd, North Hollywood 91605",91605,2,2011,2,36,5.56%,Density Bonus,Market Rate Developments,,,1,2,,,,,
"7135 N Woodley Ave, Van Nuys 91406",91406,6,2011,15,42,35.71%,Density Bonus,Market Rate Developments,,,,,,,,,
"7857 W Manchester Ave, Los Angeles 90293",90293,11,2011,3,32,9.38%,Density Bonus,Market Rate Developments,,211,"104, 301",,,,,,
"7045 N. Remmet Ave., Los Angeles 90303",90303,3,2011,1,11,9.09%,Density Bonus,Market Rate Developments,,1,,,,,,,
"1611 S. Beverly Glen Blvd., Los Angeles, CA 90024",90024,5,2011,1,12,8.33%,Density Bonus,Market Rate Developments,,,,,,,,,
"4251 and 4263 S. Central Avenue, Los Angeles, CA 90011",90011,9,2011,17,18,94.44%,Density Bonus/Parking Reduction Only,Market Rate Developments,,,,,,,,,
"4034 S. Pacific Avenue, San Pedro, CA 90731",90731,15,2011,2,36,5.56%,Other Ordinances Or Discretionary,Market Rate Developments,,,,,,,,,
"2731 Lincoln Park, Los Angeles 90031",90031,14,2011,1,3,33.33%,Other Ordinances Or Discretionary,Market Rate Developments,,,1,,,,,,
"2508 S. Pacific Avenue, Los Angeles, CA 90291",90291,11,2011,1,4,25.00%,Other Ordinances Or Discretionary,Market Rate Developments,1,,,,,,,,
"10 19th Ave., Los Angeles, CA 90291",90291,11,2011,1,11,9.09%,Other Ordinances Or Discretionary,Market Rate Developments,,1,,,,,,,
"2510 S. Pacific Avenue, Los Angeles, CA 90291",90291,11,2011,1,4,25.00%,Other Ordinances Or Discretionary,Market Rate Developments,,,,,,,,,
"2504 S. Pacific Avenue, Los Angeles, CA 90291",90291,11,2011,1,4,25.00%,Other Ordinances Or Discretionary,Market Rate Developments,,,,,,,,,
320 S. Arnaz Drive 90048,90048,5,2011,48,48,100.00%,Other Ordinances Or Discretionary,Market Rate Developments,,,,,,,,,
"14 E. Jib St., Los Angeles, CA 90292",90292,11,2011,2,7,28.57%,Other Ordinances Or Discretionary,Market Rate Developments,,,,,,,,,
"5200 Wilshire Blvd., Los Angeles, CA 90036",90036,5,2011,14,478,2.93%,Other Ordinances Or Discretionary,Market Rate Developments,,,,,,,,,
"7621 S. Figueroa St, Los Angeles 90044",90044,8,2011,35,35,100.00%,Density Bonus,Affordable Housing Trust Fund Projects,,,,,,,,,
"11904 Culver Blvd, Los Angeles 90066",90066,11,2011,87,124,70.16%,Density Bonus,Affordable Housing Trust Fund Projects,,,,,,,,,
"5555 Hollywood Blvd, Los Angeles 90028",90028,13,2011,119,120,99.17%,Density Bonus,Affordable Housing Trust Fund Projects,,,,,,,,,
"1240 S Menlo Ave, Los Angeles 90006",90006,1,2011,60,60,100.00%,Density Bonus,Affordable Housing Trust Fund Projects,,,,,,,,,
"538 S Normandie Ave, Los Angeles 90020",90020,10,2011,65,66,98.48%,Density Bonus,Affordable Housing Trust Fund Projects,,,,,,,,,
"5525 Klump Ave, Los Angeles 91601",91601,2,2011,48,49,97.96%,Density Bonus,Affordable Housing Trust Fund Projects,,,,,,,,,
"7135 N Wilbur Ave, Los Angeles 91335",91335,3,2011,11,73,15.07%,Density Bonus,Affordable Housing Trust Fund Projects,,"1, 2, 3","4, 5, 6, 7","8, 9, 10, 11",,,,,
"14731 W Rayen St, Panorama City 91402",91402,6,2011,41,42,97.62%,Density Bonus,Affordable Housing Trust Fund Projects,,,,,,,,,
"12230 W Osborne Pl, Los Angeles 91331",91331,7,2011,62,64,96.88%,Density Bonus,Affordable Housing Trust Fund Projects,,,,,,,,,
"240 E. 6th Street, Los Angeles, CA",90014,14,2011,100,102,98.04%,Density Bonus,Affordable Housing Trust Fund Projects,,,,,,,,,
"4900 Vineland Avenue, Los Angeles 91601",91601,2,2011,81,82,98.78%,Density Bonus,Affordable Housing Trust Fund Projects,,,,,,,,,
505 S. San Pedro St. 90013,90013,14,2011,107,108,99.07%,Other Ordinances Or Discretionary,Affordable Housing Trust Fund Projects,,,,,,,,,
"12301 W. Pico Blvd, Los Angeles, CA",90064,11,2012,8,95,8.42%,Density Bonus,Market Rate Developments,,,,,,,,,
"7901 Ventura Canyon Ave., Los Angeles, CA",91402,6,2012,2,30,6.67%,Density Bonus,Market Rate Developments,,,,"1, 2",,,,,
"5816 N. Whitsett Avenue, Los Angeles, CA",91607,2,2012,2,23,8.70%,Density Bonus,Market Rate Developments,,,,,,,,,
"1735 N. La Brea Ave., Los Angeles, CA",90046,4,2012,1,18,5.56%,Density Bonus,Market Rate Developments,,,,,,,,,
"6912 N. Coldwater Canyon, Los Angeles, CA",91605,2,2012,1,12,8.33%,Density Bonus,Market Rate Developments,,1,,,,,,,
"10810 W. Palms Blvd., Los Angeles, CA",90034,5,2012,2,25,8.00%,Density Bonus,Market Rate Developments,1,2,,,,,,,
"11900 W. Courtleigh Dr., Los Angeles, CA",90066,11,2012,3,28,10.71%,Density Bonus,Market Rate Developments,,1,"2, 3",,,,,,
"1616 N. La Brea Ave., aka 7084 W. Hawthorne Ave",90028,13,2012,5,56,8.93%,Density Bonus,Market Rate Developments,,,,,,,,,
"5005 S. Main St., Los Angeles, CA",90011,9,2012,88,89,98.88%,Density Bonus,Market Rate Developments,,,,,,,,,
"3680 S. Keystone Ave., Los Angeles, CA",90034,5,2012,1,12,8.33%,Density Bonus,Market Rate Developments,,,,,,,,,
"153 N. Glendale Blvd., Los Angeles, CA",90026,13,2012,44,45,97.78%,Density Bonus,Market Rate Developments,,,,,,,,,
"9901 W. Washington Blvd., Los Angeles, CA",90232,5,2012,11,131,8.40%,Density Bonus,Market Rate Developments,"1, 2","3, 4, 5, 6, 7, 8, 9",10,11,,,,,
"116 N. Kings Road, Los Angeles, CA",90048,5,2012,1,21,4.76%,Density Bonus,Market Rate Developments,,,,,,,,,
"5845 W. Carlton Way, Los Angeles, CA",90035,13,2012,3,40,7.50%,Density Bonus,Market Rate Developments,,,,,,,,,
"11776 W. Idaho Ave., Los Angeles, CA",90025,11,2012,1,9,11.11%,Density Bonus,Market Rate Developments,,,,,,,,,
"13429 W. Vanowen St., Los Angeles, CA",91405,2,2012,2,23,8.70%,Density Bonus,Market Rate Developments,,,,,,,,,
